05/04 13:32:06.491 (+  107) <<27456>>(RTS) WRITE: C0,off,V0,off;
05/04 13:32:06.491 (+    0) <<27456>>(RTS) sleeping 100ms
05/04 13:32:06.601 (+  110) <<27456>>(RTS) WRITE: V1,S,V2,S,V3,S,V4,S,C1,S,C2,S,C3,S;
05/04 13:32:06.601 (+    0) <<27456>>(RTS) sleeping 100ms
05/04 13:32:06.712 (+  111) <<27456>>(RTS) ResetVectors()
05/04 13:32:06.712 (+    0) <<27456>>(RTS) Inside SetChannelOnColor
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = IAmp_1,IPhase_1,IFreq_1
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = IAmp_2,IPhase_2,IFreq_2
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = IAmp_3,IPhase_3,IFreq_3
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = true bMasterOn = true Tags = VAmp_1,VPhase_1,VFreq_1
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = VAmp_2,VPhase_2,VFreq_2
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = VAmp_3,VPhase_3,VFreq_3
05/04 13:32:06.712 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = true Tags = VAmp_4,VPhase_4,VFreq_4
05/04 13:32:06.824 (+  112) <<27456>>(RTS) WRITE: QRYALL,
05/04 13:32:06.824 (+    0) <<27456>>(RTS) READ: V,0,10,0.0,0.0,0.000,0.000,0,20,0.0,0.0,0.000,0.000,0,30,0.0,0.0,0.000,0.000,0,40,0.0,0.0,360.000,60.000,I,0,11,0.0,0.0,0.000,60.000,0,21,0.0,0.0,0.000,60.000,0,31,0.0,0.0,0.000,60.000,BI,0000000000,BO,000000,EV,0,T,0.0000,T01,0.0,T02,0.0,T03,0.0,T04,0.0,T05,0.0,T06,0.0,T07,0.0,T08,0.0,T09,0.0,T10,0.0,P8000,1898,P8k2,0,VDC,NA,BootCnt:100,DCAP0,Tmax,37.25,12,SMRT,SSF:NA,43.46,67.58,;
05/04 13:32:06.833 (+    9) <<27456>>(RTS) Sleep and retry check that the test has started due to 'EV,0' response from test set.
05/04 13:32:07.158 (+  325) <<27456>>(RTS) WRITE: QRYALL,
05/04 13:32:07.165 (+    7) <<27456>>(RTS) READ: V,0,10,0.0,0.0,0.000,0.000,0,20,0.0,0.0,0.000,0.000,0,30,0.0,0.0,0.000,0.000,0,40,0.0,0.0,360.000,60.000,I,0,11,0.0,0.0,0.000,60.000,0,21,0.0,0.0,0.000,60.000,0,31,0.0,0.0,0.000,60.000,BI,0000000000,BO,000000,EV,0,T,0.0000,T01,0.0,T02,0.0,T03,0.0,T04,0.0,T05,0.0,T06,0.0,T07,0.0,T08,0.0,T09,0.0,T10,0.0,P8000,1899,P8k2,0,VDC,NA,BootCnt:100,DCAP0,Tmax,37.25,12,SMRT,SSF:NA,43.67,49.30,;
05/04 13:32:07.405 (+  240) <<27456>>(RTS) Inside SetChannelOnColor
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = IAmp_1,IPhase_1,IFreq_1
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = IAmp_2,IPhase_2,IFreq_2
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = IAmp_3,IPhase_3,IFreq_3
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = true bMasterOn = false Tags = VAmp_1,VPhase_1,VFreq_1
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_2,VPhase_2,VFreq_2
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_3,VPhase_3,VFreq_3
05/04 13:32:07.405 (+    0) <<27456>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_4,VPhase_4,VFreq_4
