
04/10 10:53:42.574 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:42.686 (+  112) <<17996>>(RTS) *****************end prefault ramp 1 ****************
04/10 10:53:42.686 (+    0) <<17996>>(RTS) WRITE: td2,t01m,t01cal,t01HD,TR,
04/10 10:53:42.797 (+  111) <<17996>>(RTS) WRITE: qg,
04/10 10:53:42.813 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:42.813 (+    0) <<17996>>(RTS) WRITE: qg,
04/10 10:53:42.829 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:42.837 (+    8) <<17996>>(RTS) WRITE: c1,a4.0000,d0,p0.000,
04/10 10:53:42.837 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:42.925 (+   88) <<17996>>(RTS) WRITE: c1,a4.0200,d0,
04/10 10:53:42.972 (+   47) <<17996>>(RTS) WRITE: qg,
04/10 10:53:42.988 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:42.988 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.068 (+   80) <<17996>>(RTS) WRITE: c1,a4.0400,d0,
04/10 10:53:43.131 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.147 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.147 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.226 (+   79) <<17996>>(RTS) WRITE: c1,a4.0600,d0,
04/10 10:53:43.289 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.305 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.305 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.384 (+   79) <<17996>>(RTS) WRITE: c1,a4.0800,d0,
04/10 10:53:43.447 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.463 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.463 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.543 (+   80) <<17996>>(RTS) WRITE: c1,a4.1000,d0,
04/10 10:53:43.607 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.623 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.623 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.702 (+   79) <<17996>>(RTS) WRITE: c1,a4.1200,d0,
04/10 10:53:43.765 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.781 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.781 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:43.860 (+   79) <<17996>>(RTS) WRITE: c1,a4.1400,d0,
04/10 10:53:43.924 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:43.939 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:43.939 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.019 (+   80) <<17996>>(RTS) WRITE: c1,a4.1600,d0,
04/10 10:53:44.083 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.099 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:44.099 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.178 (+   79) <<17996>>(RTS) WRITE: c1,a4.1800,d0,
04/10 10:53:44.241 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.257 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:44.257 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.336 (+   79) <<17996>>(RTS) WRITE: c1,a4.2000,d0,
04/10 10:53:44.399 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.415 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:44.415 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.495 (+   80) <<17996>>(RTS) WRITE: c1,a4.2200,d0,
04/10 10:53:44.559 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.574 (+   15) <<17996>>(RTS) READ: GATE0000;
